movieId,title,genres,ratings
0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,4
1,Jumanji,Adventure|Children|Fantasy,4
2,Grumpier Old Men,Comedy|Romance,4
3,Waiting to Exhale,Comedy|Drama|Romance,3
4,Father of the Bride Part II,Comedy,3
5,Heat,Action|Crime|Thriller,4
6,Sabrina,Comedy|Romance,4
7,Tom and Huck,Adventure|Children,3
8,Sudden Death,Action,4
9,GoldenEye,Action|Adventure|Thriller,4
10,"American President, The",Comedy|Drama|Romance,4
11,Dracula: Dead and Loving It,Comedy|Horror,3
12,Balto,Adventure|Animation|Children,4
13,Nixon,Drama,4
14,Cutthroat Island,Action|Adventure|Romance,3
15,Casino,Crime|Drama,4
16,Sense and Sensibility,Drama|Romance,4
17,Four Rooms,Comedy,4
18,Ace Ventura: When Nature Calls,Comedy,3
19,Money Train,Action|Comedy|Crime|Drama|Thriller,3
20,Get Shorty,Comedy|Crime|Thriller,4
21,Copycat,Crime|Drama|Horror|Mystery|Thriller,4
22,Assassins,Action|Crime|Thriller,3
23,Powder,Drama|Sci-Fi,4
24,Leaving Las Vegas,Drama|Romance,4
25,Othello,Drama,4
26,Now and Then,Children|Drama,4
27,Persuasion,Drama|Romance,4
28,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4
29,Shanghai Triad,Crime|Drama,3
30,Dangerous Minds,Drama,4
31,Twelve Monkeys,Mystery|Sci-Fi|Thriller,4
32,Babe,Children|Drama,4
33,Dead Man Walking,Crime|Drama,4
34,It Takes Two,Children|Comedy,2
35,Clueless,Comedy|Romance,4
36,"Cry, the Beloved Country",Drama,4
37,Richard III,Drama|War,4
38,Dead Presidents,Action|Crime|Drama,3
39,Restoration,Drama,4
40,Mortal Kombat,Action|Adventure|Fantasy,3
41,To Die For,Comedy|Drama|Thriller,4
42,How to Make an American Quilt,Drama|Romance,3
43,Seven,Mystery|Thriller,4
44,Pocahontas,Animation|Children|Drama|Musical|Romance,4
45,When Night Is Falling,Drama|Romance,3
46,"Usual Suspects, The",Crime|Mystery|Thriller,5
47,Mighty Aphrodite,Comedy|Drama|Romance,4
48,Lamerica,Adventure|Drama,5
49,"Big Green, The",Children|Comedy,3
50,Georgia,Drama,4
51,Home for the Holidays,Drama,3
52,"Postman, The",Comedy|Drama|Romance,4
53,"Indian in the Cupboard, The",Adventure|Children|Fantasy,4
54,Eye for an Eye,Drama|Thriller,4
55,Mr. Holland's Opus,Drama,4
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,3
57,Two if by Sea,Comedy|Romance,3
58,Bio-Dome,Comedy,3
59,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,3
60,French Twist,Comedy|Romance,4
61,Friday,Comedy,4
62,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,4
63,Fair Game,Action,2
64,Kicking and Screaming,Comedy|Drama,4
65,"Misérables, Les",Drama|War,4
66,Bed of Roses,Drama|Romance,4
67,Big Bully,Comedy|Drama,3
68,Screamers,Action|Sci-Fi|Thriller,4
69,Nico Icon,Documentary,4
70,"Crossing Guard, The",Action|Crime|Drama|Thriller,4
71,"Juror, The",Drama|Thriller,3
72,"White Balloon, The",Children|Drama,4
73,Things to Do in Denver When You're Dead,Crime|Drama|Romance,3
74,Antonia's Line,Comedy|Drama,4
75,Once Upon a Time... When We Were Colored,Drama|Romance,3
76,Angels and Insects,Drama|Romance,4
77,White Squall,Action|Adventure|Drama,4
78,Dunston Checks In,Children|Comedy,3
79,Black Sheep,Comedy,3
80,Nick of Time,Action|Thriller,4
81,Mary Reilly,Drama|Horror|Thriller,3
82,Vampire in Brooklyn,Comedy|Horror|Romance,3
83,Beautiful Girls,Comedy|Drama|Romance,4
84,Broken Arrow,Action|Adventure|Thriller,3
85,In the Bleak Midwinter,Comedy|Drama,3
86,Hate,Crime|Drama,4
87,Heidi Fleiss: Hollywood Madam,Documentary,5
88,City Hall,Drama|Thriller,3
89,Bottle Rocket,Adventure|Comedy|Crime|Romance,4
90,Mr. Wrong,Comedy,3
91,Unforgettable,Mystery|Sci-Fi|Thriller,3
92,Happy Gilmore,Comedy,4
93,"Bridges of Madison County, The",Drama|Romance,4
